ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ampari-abrusprecatorius-1,,ampari,abrusprecatorius,sà:ⁿ-píyɔ́ⁿ-píyɔ́ⁿ,sà:ⁿ-píyɔ́ⁿ-píyɔ́ⁿ,,,,,,,
ampari-acaciaseyal-1,,ampari,acaciaseyal,sà:-tòmbó nàrà,sà:-tòmbó nàrà,,,,,,,
ampari-acaciatortilis-1,,ampari,acaciatortilis,sá:-tómbò,sá:-tómbò,,,,,,,
ampari-acanthospermumhispidum-1,,ampari,acanthospermumhispidum,ná:-kɔ̀jùwè,ná:-kɔ̀jùwè,,,,,,,
ampari-achyranthesasperasicula-1,,ampari,achyranthesasperasicula,yàgàdá nàrà,yàgàdá nàrà,,,,,,,
ampari-achyranthesasperasicula-2,,ampari,achyranthesasperasicula,yàgádà,yàgádà,,,,,,,
ampari-acomysjohannis-1,,ampari,acomysjohannis,síyá kɛ̀rúmɛ̀,síyá kɛ̀rúmɛ̀,,,,,,,
ampari-actophilornisafricanus-1,,ampari,actophilornisafricanus,kúrúmbá níwè,kúrúmbá níwè,,,,,,,
ampari-adansoniadigitata-1,,ampari,adansoniadigitata,pésé,pésé,,,,,,,
ampari-aeschynomeneindica-1,,ampari,aeschynomeneindica,kɔ̀jí-pùlùlù,kɔ̀jí-pùlùlù,,,,,,,
ampari-agamaboueti-1,,ampari,agamaboueti,àgà kǒ:ⁿ-wè,àgà kǒ:ⁿ-wè,,,,,,,
ampari-agamasankaranica-1,,ampari,agamasankaranica,àgà kǒ:ⁿ-wè,àgà kǒ:ⁿ-wè,,,,,,,
ampari-agriusconvolvuli-1,,ampari,agriusconvolvuli,sì: mùndì-mùndí bɔ̀:mbɛ́,sì: mùndì-mùndí bɔ̀:mbɛ́,,,,,,,
ampari-alliumcepa-1,,ampari,alliumcepa,kàmíyⁿɛ̀,kàmíyⁿɛ̀,,,,,,,
ampari-alliumsativum-1,,ampari,alliumsativum,kàmìyⁿɛ́ nàrà,kàmìyⁿɛ́ nàrà,,,,,,,
ampari-aloetenuifolia-1,,ampari,aloetenuifolia,íjé-kèndà,íjé-kèndà,,,,,,,
ampari-alysicarpusovalifolius-1,,ampari,alysicarpusovalifolius,sí: kɔ̀jì,sí: kɔ̀jì,,,,,,,
ampari-amaranthusviridis-1,,ampari,amaranthusviridis,bè:-gé dwàmbè,bè:-gé dwàmbè,,,,,,,
ampari-amietophrynusxeros-1,,ampari,amietophrynusxeros,ɔ̀wná,ɔ̀wná,,,,,,,
ampari-ammodaucusleucotrichus-1,,ampari,ammodaucusleucotrichus,tùdùgú,tùdùgú,,,,,,,
ampari-amorphophallusaphyllus-1,,ampari,amorphophallusaphyllus,kànù mànà: sáyé,kànù mànà: sáyé,,,,,,,
ampari-amorphophallusbaumannii-1,,ampari,amorphophallusbaumannii,kànú sǎyyè,kànú sǎyyè,,,,,,,
ampari-ampelocissusafricana-1,,ampari,ampelocissusafricana,kòdè gè  sáná,kòdè gè  sáná,,,,,,,
ampari-anacardiumoccidentale-1,,ampari,anacardiumoccidentale,ɛ́mbɛ́-dámà,ɛ́mbɛ́-dámà,,,,,,,
ampari-anacridiummelanorhodon-1,,ampari,anacridiummelanorhodon,tòróntàrà,tòróntàrà,,,,,,,
ampari-androctonusamoreuxi-1,,ampari,androctonusamoreuxi,nǒ:ndò,nǒ:ndò,,,,,,,
ampari-androctonusamoreuxi-2,,ampari,androctonusamoreuxi,ɔ̀gɔ́ nóndò,ɔ̀gɔ́ nóndò,,,,,,,
ampari-andropogongayanusbisquamulatus-1,,ampari,andropogongayanusbisquamulatus,dǔ:ⁿ-kòrò,dǔ:ⁿ-kòrò,,,,,,,
