ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey
abelmoschusesculentus,Abelmoschus esculentus,,,3152707,Abelmoschus esculentus Moench,Abelmoschus esculentus,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Malvaceae,6685,Abelmoschus,3152705
abildgaardiawallichianalye,Abildgaardia wallichiana Lye,,,7226952,Bulbostylis barbata subsp. barbata,Bulbostylis barbata barbata,SUBSPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Bulbostylis,2719209
abrusprecatorius,Abrus precatorius,,,10594944,Abrus precatorius,Abrus precatorius,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Hemiptera,809,Cicadellidae,9647,Abrus,2031596
abutilonglaucum,Abutilon glaucum,,,3938698,Abutilon glaucum G.Don,Abutilon glaucum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Malvaceae,6685,Abutilon,3152599
acaciasenegal,Acacia senegal,,,164011701,Acacia senegal Linnaeus 1753,Acacia senegal,SPECIES,Plantae,165070450,Tracheophyta,165070514,Magnoliopsida,165070555,Fabales,165070799,Fabaceae,165070800,Acacia,165070819
acaciaseyal,Acacia seyal,,,147315125,Acacia seyal Willd.,Acacia seyal,SPECIES,Plantae,147314675,,,Magnoliopsida,147314732,,,,,,
acaciatortilis,Acacia tortilis,,,8731919,Acacia tortilis Forssk.,Acacia tortilis,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Acacia,2978223
acanthacrisruficorniscitrina,Acanthacris ruficornis citrina,,,6255369,"Acanthacris ruficornis citrina (Serville, 1838)",Acanthacris ruficornis citrina,SUBSPECIES,Animalia,1,Arthropoda,54,Insecta,216,Orthoptera,1458,Acrididae,9394,Acanthacris,1705888
acanthodactylusboskianus,Acanthodactylus boskianus,,,5226727,"Acanthodactylus boskianus (Daudin, 1802)",Acanthodactylus boskianus,SPECIES,Animalia,1,Chordata,44,Reptilia,358,Squamata,715,Lacertidae,5201,Acanthodactylus,2469510
acanthospermumhispidum,Acanthospermum hispidum,,,3100375,Acanthospermum hispidum DC.,Acanthospermum hispidum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Acanthospermum,3100362
accipiterbadius,Accipiter badius,,,2480610,"Accipiter badius (Gmelin, 1788)",Accipiter badius,SPECIES,Animalia,1,Chordata,44,Aves,212,Accipitriformes,7191147,Accipitridae,2877,Accipiter,9405810
achyranthesasperasicula,Achyranthes aspera sicula,,,103392948,Achyranthes aspera var. sicula,Achyranthes aspera sicula,VARIETY,Viridiplantae,102974832,Streptophyta,102986054,Magnoliopsida,103019693,Caryophyllales,103377360,Amaranthaceae,103389684,Achyranthes,103392927
acinonyxjubatus,Acinonyx jubatus,,,2435270,"Acinonyx jubatus (Schreber, 1775)",Acinonyx jubatus,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Carnivora,732,Felidae,9703,Acinonyx,2435269
acomysjohannis,Acomys johannis,,,4264828,"Acomys johannis Thomas, 1912",Acomys johannis,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Rodentia,1459,Muridae,5510,Acomys,2438252
acoryphaclara,Acorypha clara,,,1713834,"Acorypha clara (F.Walker, 1870)",Acorypha clara,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Orthoptera,1458,Acrididae,9394,Acorypha,1713778
acoryphaglaucopsis,Acorypha glaucopsis,,,1713853,"Acorypha glaucopsis (F.Walker, 1870)",Acorypha glaucopsis,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Orthoptera,1458,Acrididae,9394,Acorypha,1713778
acridocarpusmonodii,Acridocarpus monodii,,,3986305,Acridocarpus monodii Arènes & P.Jaeger ex Birnbaum & J.Florence,Acridocarpus monodii,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Malpighiaceae,6676,Acridocarpus,7284910
acrotylusblondeli,Acrotylus blondeli,,,5099063,"Acrotylus blondeli Saussure, 1884",Acrotylus blondeli,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Orthoptera,1458,Acrididae,9394,Acrotylus,1711256
acrotylussp1wa,Acrotylus sp. 1WA,,,104903601,Acrotylus,Acrotylus,GENUS,Metazoa,103832354,Arthropoda,104183026,Insecta,104295797,Orthoptera,104899863,Acrididae,104900322,Acrotylus,104903601
